Name,Age,Gender,Skills,Wages (INR/day),Location,Pincode,Years of Experience,Education Level,Marital Status,Number of Dependents,Work Type
Tripti Luthra,21,Female,Plastering,443-648,Mumbai,400001,1,None,Single,2,Full-Time
Widisha Kaul,53,Female,Electrical Work,553-685,Delhi,110001,9,Secondary,Married,5,Part-Time
Imaran Trivedi,27,Male,Masonry,365-624,Chennai,600001,5,Primary,Married,3,Seasonal
Yuvraj Pingle,36,Female,Decorating,592-767,Jaipur,302001,6,None,Married,3,Full-Time
Zayan Agate,59,Male,Gardening,559-816,Delhi,110001,2,Higher Secondary,Married,3,Full-Time
Nathan Sunder,56,Male,"Plastering, Cooking",581-813,Mumbai,400001,11,Higher Secondary,Widowed,2,Full-Time
Yashasvi Doctor,33,Female,Cooking,369-493,Mumbai,400001,9,None,Single,0,Full-Time
Charita Divan,29,Male,Gardening,551-682,Lucknow,226001,1,Primary,Single,0,Seasonal
Udant Choudhury,22,Male,Masonry,517-704,Pune,411001,2,Primary,Married,4,Part-Time
Sarthak Sachar,29,Male,Gardening,374-610,Lucknow,226001,5,Higher Secondary,Single,1,Full-Time
Anusha Kohli,22,Male,"Gardening, Gardening",514-812,Delhi,110001,4,None,Married,3,Seasonal
Owen Garde,34,Female,"Welding, Gardening",397-518,Pune,411001,13,Secondary,Widowed,2,Full-Time
Edhitha Tailor,25,Female,Decorating,415-600,Hyderabad,500001,7,Secondary,Married,5,Part-Time
Urvi Tata,38,Female,"Gardening, Decorating",418-550,Kolkata,700001,6,None,Single,2,Seasonal
Aashi Dasgupta,23,Female,Cooking,518-653,Delhi,110001,5,Higher Secondary,Single,0,Seasonal
Tamanna Raju,38,Female,Decorating,569-779,Kolkata,700001,5,Higher Secondary,Single,0,Seasonal
Tanmayi Manne,26,Female,Tailoring,393-553,Delhi,110001,2,None,Widowed,2,Seasonal
Harita Deshmukh,32,Female,Electrical Work,415-520,Jaipur,302001,10,Secondary,Married,0,Seasonal
Hemani Zacharia,51,Female,Gardening,356-624,Jaipur,302001,9,Primary,Married,0,Seasonal
Pranit Chatterjee,33,Male,Plastering,306-425,Ahmedabad,380001,4,None,Single,2,Full-Time
Ati Bhattacharyya,34,Female,Plastering,451-728,Lucknow,226001,4,Higher Secondary,Widowed,1,Full-Time
Ekanta Manne,44,Male,Carpentry,561-744,Pune,411001,1,Primary,Married,2,Seasonal
Anirudh Atwal,43,Female,Tailoring,579-730,Kolkata,700001,13,Secondary,Widowed,1,Part-Time
Farhan Raghavan,31,Male,Sewing,566-839,Chennai,600001,13,Higher Secondary,Single,1,Part-Time
Madhav Kata,39,Female,Plumbing,462-612,Kolkata,700001,5,None,Single,0,Part-Time
Meera Singh,60,Female,Domestic Help,393-537,Chennai,600001,9,Primary,Widowed,0,Seasonal
Edhitha Dua,51,Male,"Welding, Tailoring",512-688,Pune,411001,14,None,Widowed,1,Full-Time
Eta Lalla,32,Female,"Plumbing, Carpentry",303-586,Pune,411001,6,Higher Secondary,Single,0,Seasonal
Charita Kadakia,30,Female,Tailoring,517-815,Mumbai,400001,1,None,Single,0,Part-Time
Yash Sule,36,Female,Painting,548-665,Bangalore,560001,17,None,Married,6,Full-Time
Kiaan Som,19,Female,Gardening,324-584,Jaipur,302001,1,Higher Secondary,Single,1,Full-Time
Dalbir Rastogi,36,Male,"Carpentry, Carpentry",577-819,Ahmedabad,380001,10,None,Single,1,Seasonal
Bimala Walla,55,Female,"Tailoring, Gardening",590-861,Delhi,110001,13,Secondary,Widowed,2,Full-Time
Vasatika Sandal,23,Female,Plumbing,356-548,Kolkata,700001,5,None,Widowed,1,Seasonal
Vansha Chad,54,Male,Domestic Help,371-600,Jaipur,302001,9,Primary,Married,4,Full-Time
Ekantika Chada,60,Female,"Plastering, Electrical Work",417-697,Bangalore,560001,19,Higher Secondary,Married,6,Part-Time
Gagan Nanda,52,Female,Carpentry,491-785,Delhi,110001,7,Primary,Single,1,Seasonal
Damyanti Bera,18,Male,"Sewing, Decorating",361-639,Chennai,600001,1,Higher Secondary,Widowed,2,Seasonal
Hritik Deep,32,Male,Masonry,446-660,Delhi,110001,10,Higher Secondary,Married,2,Seasonal
Chaitaly Lal,43,Male,Painting,342-446,Mumbai,400001,20,None,Single,1,Full-Time
Nikita Ram,31,Female,Painting,513-812,Ahmedabad,380001,10,None,Single,0,Seasonal
Daksh Tata,50,Male,Domestic Help,509-689,Lucknow,226001,11,Higher Secondary,Single,1,Seasonal
Omaja Wali,22,Female,Gardening,539-733,Hyderabad,500001,4,Primary,Widowed,0,Part-Time
Mahika Madan,56,Female,Painting,358-625,Kolkata,700001,3,Primary,Single,0,Full-Time
Brijesh Maharaj,49,Female,Domestic Help,313-483,Ahmedabad,380001,19,Primary,Single,2,Part-Time
Ekta Sankar,28,Male,"Welding, Decorating",408-544,Delhi,110001,9,Primary,Widowed,2,Full-Time
Mason Deshpande,19,Male,Electrical Work,313-605,Delhi,110001,2,Higher Secondary,Single,1,Seasonal
Mason Dugar,48,Male,Gardening,571-761,Kolkata,700001,1,Higher Secondary,Single,1,Part-Time
Alka Agrawal,46,Male,"Carpentry, Masonry",557-793,Kolkata,700001,6,Higher Secondary,Married,5,Full-Time
Laksh Palla,18,Female,"Decorating, Tailoring",366-513,Mumbai,400001,1,Secondary,Widowed,2,Full-Time
Damini Mitra,50,Female,Gardening,425-650,Ahmedabad,380001,6,Secondary,Married,1,Seasonal
Warinder Goda,58,Female,"Gardening, Decorating",411-676,Ahmedabad,380001,1,Higher Secondary,Married,0,Seasonal
Nathan Mangal,28,Male,Decorating,307-487,Pune,411001,5,Primary,Married,2,Seasonal
Wakeeta Kant,21,Female,"Electrical Work, Tailoring",599-841,Kolkata,700001,3,None,Widowed,2,Part-Time
Aarna Shroff,28,Female,Domestic Help,451-744,Hyderabad,500001,1,Higher Secondary,Single,2,Seasonal
Samarth Mall,54,Male,Plastering,398-618,Hyderabad,500001,15,Higher Secondary,Single,0,Part-Time
Isaiah Patil,50,Female,Carpentry,503-780,Mumbai,400001,6,Secondary,Single,1,Part-Time
Udarsh Sur,30,Male,Welding,489-694,Mumbai,400001,2,None,Single,2,Full-Time
Nikita Chada,26,Female,Decorating,568-803,Lucknow,226001,8,None,Married,0,Part-Time
Manan Andra,49,Female,Sewing,349-637,Hyderabad,500001,3,Secondary,Widowed,0,Seasonal
Peter Dave,19,Female,Gardening,307-535,Jaipur,302001,2,Primary,Widowed,1,Seasonal
Eshana Thaker,58,Male,Decorating,436-563,Lucknow,226001,15,None,Married,1,Full-Time
Baghyawati Chander,20,Female,"Painting, Carpentry",351-460,Pune,411001,2,Secondary,Widowed,2,Part-Time
Kamala Deo,20,Female,Gardening,475-595,Hyderabad,500001,2,None,Widowed,2,Seasonal
Hritik Cheema,31,Male,Cooking,377-565,Ahmedabad,380001,3,Secondary,Single,0,Seasonal
Sarthak Patla,49,Female,Carpentry,387-624,Kolkata,700001,3,Primary,Widowed,0,Part-Time
Ria Dutta,48,Male,"Welding, Cooking",435-634,Chennai,600001,18,Secondary,Married,2,Part-Time
Sathvik Loke,18,Female,Electrical Work,517-811,Pune,411001,1,None,Widowed,0,Part-Time
Vaishnavi Tata,58,Male,Carpentry,345-603,Kolkata,700001,5,Primary,Single,0,Part-Time
Nandini Soman,20,Female,Electrical Work,482-702,Kolkata,700001,2,Primary,Widowed,0,Full-Time
Simon Nanda,51,Female,Painting,588-773,Hyderabad,500001,7,None,Widowed,0,Seasonal
Samuel Sridhar,48,Male,"Decorating, Domestic Help",342-589,Jaipur,302001,4,Secondary,Married,4,Full-Time
Tanveer Som,28,Male,Decorating,444-604,Ahmedabad,380001,9,None,Married,5,Part-Time
Upma Khare,39,Male,Gardening,409-562,Hyderabad,500001,5,None,Single,0,Full-Time
Benjamin Gupta,33,Male,Welding,418-621,Ahmedabad,380001,13,Higher Secondary,Married,4,Part-Time
Fariq Shere,48,Male,Carpentry,595-824,Pune,411001,5,Primary,Widowed,2,Part-Time
Tejas Varkey,39,Male,Gardening,442-588,Chennai,600001,3,Higher Secondary,Widowed,0,Seasonal
Zehaan Kumar,33,Male,Masonry,584-802,Pune,411001,14,None,Widowed,2,Full-Time
Tarak Basak,58,Male,Plastering,302-536,Hyderabad,500001,7,Secondary,Widowed,0,Full-Time
Rachita Pall,27,Male,"Welding, Gardening",317-607,Pune,411001,7,Higher Secondary,Single,1,Full-Time
Pushti Bali,19,Male,Welding,361-565,Jaipur,302001,1,None,Widowed,1,Full-Time
Pallavi Misra,33,Female,Welding,464-710,Kolkata,700001,12,None,Single,2,Part-Time
Falan Deshmukh,56,Female,Tailoring,571-736,Kolkata,700001,6,Higher Secondary,Single,1,Full-Time
Krishna Zacharia,47,Female,Domestic Help,326-539,Jaipur,302001,16,Primary,Widowed,1,Full-Time
Rudra Bhat,50,Male,Plumbing,561-825,Bangalore,560001,12,Secondary,Single,0,Part-Time
Amol Merchant,57,Female,Painting,470-575,Pune,411001,8,Higher Secondary,Single,1,Full-Time
Lajita Chaudry,40,Female,Welding,534-648,Mumbai,400001,19,None,Widowed,1,Part-Time
Ishanvi Chacko,18,Female,Electrical Work,372-641,Jaipur,302001,1,None,Widowed,0,Full-Time
Abeer Kota,49,Female,"Sewing, Cooking",422-722,Pune,411001,18,Higher Secondary,Single,1,Part-Time
Sanya Madan,38,Female,Domestic Help,414-661,Delhi,110001,13,Secondary,Widowed,2,Part-Time
Aarnav Gade,46,Male,Welding,477-672,Mumbai,400001,20,None,Married,6,Part-Time
Gautami Chowdhury,41,Female,Painting,550-820,Bangalore,560001,13,Primary,Widowed,0,Part-Time
Thomas Bali,37,Female,Welding,464-608,Hyderabad,500001,1,None,Married,2,Seasonal
Warda Wason,43,Female,Electrical Work,450-674,Chennai,600001,4,Secondary,Single,1,Full-Time
Watika Singh,25,Male,Tailoring,495-777,Kolkata,700001,5,Secondary,Single,2,Part-Time
Harsh Mitter,28,Male,Decorating,308-425,Bangalore,560001,4,None,Widowed,1,Seasonal
Yatin Rajan,45,Male,Welding,569-847,Pune,411001,5,Secondary,Single,0,Part-Time
Jeremiah Som,48,Male,Decorating,426-656,Ahmedabad,380001,15,None,Widowed,1,Part-Time
Nidra Dara,57,Female,Plumbing,522-822,Mumbai,400001,20,Higher Secondary,Widowed,0,Full-Time
Rehaan Mody,53,Male,Tailoring,461-732,Ahmedabad,380001,17,Higher Secondary,Married,6,Part-Time
Theodore Mitter,32,Male,Carpentry,535-710,Jaipur,302001,6,Higher Secondary,Married,5,Full-Time
Viraj Raja,25,Female,"Masonry, Plastering",402-680,Hyderabad,500001,7,Secondary,Married,3,Part-Time
Jagat Dewan,19,Female,Masonry,457-695,Jaipur,302001,2,Secondary,Widowed,1,Full-Time
Pavani Hari,22,Male,Electrical Work,485-605,Delhi,110001,1,None,Single,1,Full-Time
Zarna Karpe,43,Female,Gardening,518-749,Mumbai,400001,1,Primary,Single,2,Part-Time
Ishita Munshi,33,Female,Plastering,581-781,Kolkata,700001,2,Higher Secondary,Single,2,Full-Time
Darika Gupta,50,Male,"Plumbing, Carpentry",546-844,Kolkata,700001,5,Primary,Married,0,Part-Time
Benjamin Rajagopal,27,Male,Masonry,498-683,Chennai,600001,6,Higher Secondary,Single,1,Seasonal
Max Nadig,38,Male,Carpentry,451-643,Lucknow,226001,12,Primary,Single,1,Part-Time
Ronith Sarin,34,Male,"Sewing, Plumbing",419-645,Delhi,110001,6,Secondary,Single,0,Seasonal
Peter Maharaj,50,Male,Painting,517-797,Hyderabad,500001,18,Secondary,Single,0,Full-Time
Bhanumati Wason,45,Male,Masonry,328-523,Kolkata,700001,11,None,Single,0,Seasonal
Pallavi Dugal,43,Male,Masonry,382-639,Chennai,600001,20,Primary,Single,1,Seasonal
Chavvi Choudhury,35,Female,Cooking,421-545,Hyderabad,500001,2,Secondary,Widowed,1,Part-Time
Falguni Banik,52,Female,Domestic Help,480-607,Mumbai,400001,5,None,Widowed,2,Seasonal
Aashi Barad,43,Male,Domestic Help,485-630,Mumbai,400001,5,Higher Secondary,Married,0,Full-Time
Niharika Rastogi,46,Male,"Electrical Work, Gardening",516-636,Chennai,600001,16,None,Single,2,Part-Time
Kala Suri,47,Male,Tailoring,410-687,Hyderabad,500001,1,None,Widowed,2,Part-Time
Vedhika Rao,52,Female,Painting,410-559,Delhi,110001,5,Primary,Single,1,Seasonal
Hemal Kothari,27,Female,Carpentry,410-632,Mumbai,400001,7,Primary,Married,3,Full-Time
Aadi Agarwal,27,Female,Sewing,456-632,Ahmedabad,380001,8,Primary,Married,4,Seasonal
Frado Thakkar,20,Male,Painting,428-593,Pune,411001,3,None,Single,0,Seasonal
Hema Dyal,59,Male,"Sewing, Tailoring",392-492,Chennai,600001,17,Primary,Married,0,Part-Time
Jack Dani,43,Female,Masonry,399-660,Chennai,600001,8,None,Single,0,Full-Time
Sarthak Kurian,33,Male,"Sewing, Plastering",429-625,Bangalore,560001,12,None,Single,1,Seasonal
Yochana Ramaswamy,44,Male,Gardening,476-734,Jaipur,302001,17,Secondary,Single,2,Part-Time
Chanakya Dayal,34,Male,Plastering,510-714,Pune,411001,8,Secondary,Single,0,Full-Time
Rehaan Dhaliwal,26,Female,Carpentry,535-697,Kolkata,700001,3,Higher Secondary,Widowed,2,Part-Time
Geetika Mann,22,Female,Welding,491-648,Lucknow,226001,5,Primary,Single,2,Part-Time
Ekapad Natt,18,Female,Domestic Help,594-763,Mumbai,400001,1,Primary,Widowed,2,Seasonal
Tanay Wadhwa,51,Female,Gardening,451-669,Jaipur,302001,5,Primary,Married,4,Full-Time
Ekanta Yogi,34,Male,Plastering,508-614,Ahmedabad,380001,14,Primary,Widowed,2,Full-Time
Xalak Chatterjee,31,Male,Sewing,428-709,Kolkata,700001,12,Higher Secondary,Married,1,Full-Time
Darika Shah,52,Female,Plastering,447-552,Pune,411001,17,Secondary,Single,0,Full-Time
Sanya Shan,29,Male,"Electrical Work, Cooking",478-687,Lucknow,226001,11,Primary,Widowed,1,Full-Time
Nidra Puri,58,Female,Domestic Help,456-610,Mumbai,400001,4,Higher Secondary,Married,2,Full-Time
Tanay Nigam,27,Male,Plastering,564-773,Jaipur,302001,5,Primary,Married,0,Seasonal
Vritti Lad,27,Female,Decorating,567-734,Lucknow,226001,8,Higher Secondary,Widowed,2,Part-Time
Gautam Samra,49,Male,Painting,365-511,Chennai,600001,8,None,Single,0,Full-Time
Meera Khosla,42,Female,Carpentry,519-779,Jaipur,302001,9,Secondary,Widowed,2,Part-Time
Yoshita Nath,47,Male,"Gardening, Sewing",437-685,Ahmedabad,380001,18,Primary,Single,2,Part-Time
Balveer Bhalla,55,Male,Domestic Help,566-860,Pune,411001,2,Primary,Married,5,Part-Time
Sarthak Mander,52,Male,Painting,348-623,Pune,411001,9,Primary,Married,1,Seasonal
Aayush Barman,58,Female,Welding,591-860,Kolkata,700001,6,None,Single,0,Full-Time
Onveer Thakkar,54,Female,Cooking,337-494,Delhi,110001,6,None,Married,1,Part-Time
Patrick Pillai,19,Female,Electrical Work,530-639,Ahmedabad,380001,2,None,Widowed,1,Full-Time
Balveer Palan,47,Female,Sewing,562-851,Delhi,110001,3,Primary,Widowed,1,Full-Time
Nicholas Sagar,33,Male,Plumbing,353-485,Jaipur,302001,15,Secondary,Single,1,Part-Time
Ekiya Gaba,59,Female,Electrical Work,323-454,Bangalore,560001,1,None,Married,4,Full-Time
Yashawini Roy,24,Female,"Domestic Help, Domestic Help",363-599,Jaipur,302001,1,None,Married,0,Full-Time
Kala Chakraborty,52,Female,Domestic Help,466-697,Mumbai,400001,12,Primary,Married,1,Full-Time
Jeet Goel,45,Female,"Decorating, Decorating",583-869,Bangalore,560001,16,Primary,Married,6,Part-Time
Jasmit Mangat,44,Female,Decorating,586-838,Chennai,600001,9,Secondary,Single,1,Part-Time
Mahika Sunder,37,Female,Cooking,359-606,Jaipur,302001,18,Higher Secondary,Single,0,Seasonal
Anmol Chada,60,Female,Sewing,537-785,Chennai,600001,15,Higher Secondary,Widowed,2,Seasonal
Libni Wagle,49,Female,Electrical Work,428-701,Hyderabad,500001,12,None,Widowed,0,Seasonal
Pranit Prashad,44,Female,Welding,314-464,Pune,411001,13,Secondary,Single,0,Full-Time
David Devan,46,Female,Cooking,354-490,Delhi,110001,4,None,Single,0,Part-Time
Sachi Pingle,55,Female,Plumbing,302-566,Ahmedabad,380001,5,Higher Secondary,Widowed,2,Part-Time
Adweta Prabhu,18,Male,Cooking,362-561,Pune,411001,1,Secondary,Married,2,Full-Time
Vyanjana Sarraf,40,Female,Cooking,478-716,Ahmedabad,380001,10,Secondary,Single,1,Seasonal
Dev Arora,40,Female,Decorating,400-602,Bangalore,560001,2,Primary,Widowed,1,Seasonal
Raksha Verma,34,Male,Plastering,567-734,Bangalore,560001,3,Primary,Single,2,Full-Time
Madhavi Sama,57,Male,"Welding, Cooking",377-606,Ahmedabad,380001,3,Higher Secondary,Married,4,Part-Time
Ojas Ben,32,Female,Sewing,408-556,Bangalore,560001,4,Primary,Married,4,Seasonal
Pooja Sahota,20,Female,"Domestic Help, Carpentry",590-757,Chennai,600001,2,Primary,Married,2,Seasonal
Girish Brar,44,Male,"Gardening, Cooking",454-576,Lucknow,226001,13,Primary,Widowed,1,Full-Time
Pahal Dhillon,35,Female,Masonry,498-674,Mumbai,400001,3,Primary,Single,0,Part-Time
Omisha Acharya,58,Female,Welding,394-620,Pune,411001,5,None,Married,1,Seasonal
Leela Vyas,27,Female,Gardening,374-526,Chennai,600001,6,Higher Secondary,Married,5,Full-Time
Rohan Ghosh,39,Male,Plumbing,553-775,Jaipur,302001,5,Higher Secondary,Single,2,Full-Time
Gaurang Chaudhary,19,Female,Gardening,534-743,Chennai,600001,1,None,Married,5,Full-Time
Bakhshi Sahota,26,Female,Sewing,491-733,Kolkata,700001,4,None,Widowed,2,Seasonal
Indali Talwar,39,Female,"Tailoring, Sewing",579-680,Chennai,600001,11,Primary,Widowed,1,Part-Time
Oscar Golla,49,Male,Decorating,405-509,Lucknow,226001,1,Higher Secondary,Single,2,Full-Time
Avni Pathak,46,Female,Electrical Work,474-594,Mumbai,400001,11,Primary,Married,5,Part-Time
Nathan Varghese,27,Male,Tailoring,517-808,Kolkata,700001,9,Secondary,Single,2,Part-Time
Ikbal Nayar,28,Male,Tailoring,345-515,Chennai,600001,1,None,Married,6,Seasonal
Daksha Nadig,44,Male,"Cooking, Gardening",535-763,Lucknow,226001,5,None,Married,1,Part-Time
Aayush Khosla,48,Male,Electrical Work,499-617,Lucknow,226001,20,Secondary,Married,3,Part-Time
Zansi Arora,50,Female,Plastering,547-658,Delhi,110001,9,Higher Secondary,Widowed,2,Full-Time
Jack Pandey,58,Male,Painting,566-679,Kolkata,700001,3,None,Single,0,Full-Time
Vanya Choudhury,18,Female,Carpentry,386-534,Ahmedabad,380001,1,Higher Secondary,Married,4,Full-Time
Matthew Raja,56,Female,Carpentry,460-632,Mumbai,400001,9,Secondary,Single,2,Seasonal
Vivaan Kala,59,Male,Electrical Work,372-605,Kolkata,700001,12,Higher Secondary,Widowed,1,Seasonal
Vidhi Chandran,25,Female,Carpentry,486-782,Chennai,600001,7,Secondary,Widowed,2,Full-Time
Omisha Sengupta,50,Female,Domestic Help,360-631,Mumbai,400001,11,Higher Secondary,Married,0,Part-Time
Zehaan Sura,20,Male,Domestic Help,327-564,Pune,411001,1,None,Widowed,1,Part-Time
Warjas Agate,59,Female,Plumbing,572-684,Kolkata,700001,11,Higher Secondary,Married,3,Seasonal
Faraj Nayar,55,Female,"Gardening, Welding",489-751,Kolkata,700001,17,None,Single,2,Part-Time
Jeremiah Jayaraman,30,Male,Painting,440-597,Pune,411001,4,Secondary,Single,1,Full-Time
Parth Morar,33,Male,Plastering,380-539,Pune,411001,13,Secondary,Widowed,2,Part-Time
Bishakha Brar,60,Male,Sewing,365-476,Chennai,600001,9,Secondary,Married,5,Full-Time
Priya Virk,20,Male,Electrical Work,306-411,Lucknow,226001,2,Primary,Single,0,Part-Time
Garima Kapur,60,Female,Plumbing,572-725,Hyderabad,500001,6,None,Widowed,0,Full-Time
Agastya Kibe,54,Female,Painting,575-680,Pune,411001,7,Secondary,Widowed,0,Seasonal
Gaurang Dalal,39,Male,Welding,321-618,Lucknow,226001,16,Primary,Single,2,Part-Time
Gavin Kakar,56,Male,"Domestic Help, Painting",500-799,Pune,411001,3,Secondary,Single,0,Full-Time
Jhalak Deo,29,Female,Sewing,600-858,Pune,411001,7,Primary,Single,1,Seasonal
Zansi Gade,58,Male,Plumbing,458-736,Hyderabad,500001,15,Higher Secondary,Widowed,1,Part-Time
Zarna Raj,20,Male,Plumbing,435-543,Jaipur,302001,1,Secondary,Single,2,Part-Time
Yashvi Kaur,25,Female,Plastering,403-623,Bangalore,560001,3,Secondary,Married,1,Full-Time
Frado Sibal,50,Male,Painting,436-712,Delhi,110001,8,None,Married,0,Full-Time
Sarthak Nigam,43,Female,Gardening,341-465,Mumbai,400001,5,Higher Secondary,Widowed,2,Part-Time
Orinder Kar,33,Male,"Gardening, Masonry",382-593,Mumbai,400001,5,None,Married,1,Full-Time
Yagnesh Seshadri,53,Female,"Electrical Work, Cooking",481-715,Kolkata,700001,1,Primary,Married,5,Full-Time
Vihaan Patla,51,Female,"Sewing, Painting",337-474,Hyderabad,500001,18,Primary,Married,6,Part-Time
Wriddhish Om,49,Male,"Sewing, Masonry",574-693,Mumbai,400001,1,Primary,Widowed,1,Seasonal
Faqid Sridhar,57,Female,Plumbing,420-582,Hyderabad,500001,14,Higher Secondary,Married,4,Full-Time
Veda Chadha,19,Female,Tailoring,375-478,Mumbai,400001,2,None,Widowed,1,Seasonal
Lekha Chaudhari,44,Female,Domestic Help,455-721,Jaipur,302001,15,Primary,Widowed,1,Full-Time
Tanish Murthy,18,Female,Tailoring,578-817,Pune,411001,1,None,Widowed,2,Part-Time
Joshua Dyal,40,Male,Electrical Work,352-564,Delhi,110001,6,Secondary,Single,2,Full-Time
Ronith Mohan,53,Male,"Welding, Carpentry",516-706,Pune,411001,16,Primary,Married,4,Part-Time
Aryan Sharaf,34,Female,Sewing,531-651,Kolkata,700001,9,Secondary,Widowed,1,Part-Time
Bhavya Ramaswamy,52,Female,"Plastering, Painting",570-783,Pune,411001,3,Higher Secondary,Married,1,Seasonal
Qushi Tiwari,40,Male,Painting,594-779,Pune,411001,15,Secondary,Single,2,Part-Time
Manan Dara,30,Male,Cooking,389-576,Jaipur,302001,10,Primary,Married,0,Full-Time
Raksha Andra,18,Female,Painting,516-621,Mumbai,400001,1,Secondary,Single,1,Seasonal
Advika Grover,46,Male,Gardening,551-701,Jaipur,302001,17,Secondary,Widowed,1,Part-Time
Advaith Narula,35,Male,Gardening,444-662,Chennai,600001,6,Primary,Married,6,Full-Time
Shaurya Varty,24,Male,Plumbing,371-643,Chennai,600001,5,None,Single,2,Seasonal
Manan Master,60,Male,Painting,554-693,Jaipur,302001,20,Primary,Single,0,Seasonal
Tripti Ghose,38,Male,"Painting, Welding",357-588,Delhi,110001,7,None,Widowed,0,Part-Time
Liam Parmer,33,Male,Gardening,481-654,Kolkata,700001,13,Primary,Widowed,0,Full-Time
Vrinda Narula,59,Female,Sewing,579-699,Lucknow,226001,18,Secondary,Single,0,Full-Time
Caleb Goyal,19,Female,"Masonry, Sewing",428-723,Mumbai,400001,1,Primary,Widowed,1,Seasonal
Sanya Arora,33,Female,Welding,333-510,Mumbai,400001,6,Higher Secondary,Married,4,Part-Time
Yatan Agate,55,Female,Carpentry,361-522,Kolkata,700001,11,Higher Secondary,Single,0,Part-Time
Pranit Sibal,50,Female,Painting,450-585,Chennai,600001,13,Secondary,Widowed,2,Part-Time
Zaitra Jha,21,Female,Carpentry,350-511,Bangalore,560001,2,Secondary,Married,5,Seasonal
Indrajit Suresh,18,Female,Painting,590-844,Lucknow,226001,1,Secondary,Married,2,Part-Time
Patrick Sha,49,Female,Plumbing,541-829,Jaipur,302001,4,None,Single,1,Seasonal
Rudra Toor,28,Female,"Tailoring, Decorating",358-474,Jaipur,302001,7,Primary,Widowed,0,Full-Time
Peter Thaman,53,Male,Welding,334-456,Pune,411001,11,Primary,Widowed,2,Seasonal
Yahvi Mander,35,Female,Tailoring,595-877,Lucknow,226001,3,None,Widowed,0,Seasonal
Jatin Din,33,Female,Plastering,540-655,Ahmedabad,380001,1,None,Married,6,Seasonal
Guneet Singhal,33,Male,Masonry,359-555,Bangalore,560001,4,Secondary,Widowed,1,Full-Time
Chaitanya Mistry,47,Male,Tailoring,541-836,Jaipur,302001,8,None,Widowed,1,Full-Time
Bakhshi Mander,42,Female,Plumbing,305-405,Jaipur,302001,15,Primary,Single,0,Full-Time
Krisha Dalal,29,Female,Welding,338-480,Chennai,600001,10,Secondary,Single,1,Part-Time
Udyati Ray,48,Female,Cooking,342-468,Lucknow,226001,20,Secondary,Married,1,Full-Time
Charita Kannan,49,Male,Masonry,426-574,Ahmedabad,380001,4,Higher Secondary,Widowed,1,Part-Time
Jatin Khalsa,42,Male,Domestic Help,328-570,Delhi,110001,4,Primary,Married,3,Seasonal
Frederick Virk,54,Male,Plumbing,305-418,Hyderabad,500001,8,Higher Secondary,Widowed,1,Seasonal
Vrishti Sankaran,30,Male,"Welding, Tailoring",370-565,Bangalore,560001,7,Higher Secondary,Married,3,Part-Time
Kashish Sarin,44,Male,Masonry,466-588,Mumbai,400001,12,Primary,Single,2,Full-Time
Meghana Raghavan,36,Female,Decorating,503-754,Chennai,600001,6,None,Single,2,Full-Time
Vrinda Raj,29,Male,Decorating,316-453,Hyderabad,500001,11,None,Single,1,Full-Time
Faras Lala,31,Female,Carpentry,505-612,Kolkata,700001,13,None,Married,4,Seasonal
